Distance (m),UTM 52 Lon,UTM 52 Lat,S2 Reflectance
0,413597.76471,8033876.9799,2423
10.4407629501,413607.770905,8033873.99903,4167
20.8815259002,413617.7771,8033871.01816,5118
31.3222888503,413627.783295,8033868.03729,5797
41.7630518004,413637.78949,8033865.05642,5859
52.2038147505,413647.795685,8033862.07555,5854
62.6445777006,413657.801879,8033859.09467,6001
73.0853406507,413667.808074,8033856.1138,5832
83.5261036008,413677.814269,8033853.13293,5889
93.9668665509,413687.820464,8033850.15206,6313
104.407629501,413697.826659,8033847.17119,6854
114.848392451,413707.832854,8033844.19032,7237
125.289155401,413717.839049,8033841.20945,7007
135.729918351,413727.845244,8033838.22857,6594
146.170681301,413737.851439,8033835.2477,6416
156.611444251,413747.857634,8033832.26683,6784
167.052207202,413757.863829,8033829.28596,6981
177.492970152,413767.870024,8033826.30509,6950
187.933733102,413777.876219,8033823.32422,7071
198.374496052,413787.882414,8033820.34335,7093
208.815259002,413797.888609,8033817.36247,7061
219.256021952,413807.894803,8033814.3816,6917
229.696784902,413817.900998,8033811.40073,6840
240.137547852,413827.907193,8033808.41986,6981
250.578310802,413837.913388,8033805.43899,7055
261.019073752,413847.919583,8033802.45812,6997
271.459836703,413857.925778,8033799.47725,6974
281.900599653,413867.931973,8033796.49638,6937
292.341362603,413877.938168,8033793.5155,6781
302.782125553,413887.944363,8033790.53463,6702
313.222888503,413897.950558,8033787.55376,6377
323.663651453,413907.956753,8033784.57289,6400
334.104414403,413917.962948,8033781.59202,6634
344.545177353,413927.969143,8033778.61115,6722
354.985940303,413937.975338,8033775.63028,6721
365.426703253,413947.981532,8033772.6494,6615
375.867466204,413957.987727,8033769.66853,6952
386.308229154,413967.993922,8033766.68766,7244
396.748992104,413978.000117,8033763.70679,6975
407.189755054,413988.006312,8033760.72592,6606
417.630518004,413998.012507,8033757.74505,6510
428.071280954,414008.018702,8033754.76418,7061
438.512043904,414018.024897,8033751.78331,7086
448.952806854,414028.031092,8033748.80243,6668
459.393569804,414038.037287,8033745.82156,6413
469.834332754,414048.043482,8033742.84069,6759
480.275095705,414058.049677,8033739.85982,6662
490.715858655,414068.055872,8033736.87895,6395
501.156621605,414078.062067,8033733.89808,6311
511.597384555,414088.068262,8033730.91721,6520
522.038147505,414098.074456,8033727.93633,6726
532.478910455,414108.080651,8033724.95546,6692
542.919673405,414118.086846,8033721.97459,6614
553.360436355,414128.093041,8033718.99372,5954
563.801199305,414138.099236,8033716.01285,5953
574.241962255,414148.105431,8033713.03198,5843
584.682725206,414158.111626,8033710.05111,5575
595.123488156,414168.117821,8033707.07024,4985
605.564251106,414178.124016,8033704.08936,3321
616.005014056,414188.130211,8033701.10849,1092
626.445777006,414198.136406,8033698.12762,549
636.886539956,414208.142601,8033695.14675,475
647.327302906,414218.148796,8033692.16588,467
657.768065856,414228.154991,8033689.18501,478
668.208828806,414238.161186,8033686.20414,454
678.649591756,414248.16738,8033683.22326,486
689.090354707,414258.173575,8033680.24239,547
699.531117657,414268.17977,8033677.26152,595
709.971880607,414278.185965,8033674.28065,703
720.412643557,414288.19216,8033671.29978,705
730.853406507,414298.198355,8033668.31891,659
741.294169457,414308.20455,8033665.33804,691
751.734932407,414318.210745,8033662.35717,614
762.175695357,414328.21694,8033659.37629,893
772.616458307,414338.223135,8033656.39542,899
783.057221257,414348.22933,8033653.41455,1241
793.497984208,414358.235525,8033650.43368,1686
803.938747158,414368.24172,8033647.45281,1029
814.379510108,414378.247915,8033644.47194,847
824.820273058,414388.254109,8033641.49107,1108
835.261036008,414398.260304,8033638.51019,1668
