Distance (m),UTM 52 Lon,UTM 52 Lat,S2 Reflectance
0,413869.675744,8033211.86741,429
11.5233977095,413859.64695,8033217.54124,407
23.046795419,413849.618157,8033223.21507,512
34.5701931284,413839.589364,8033228.8889,552
46.0935908379,413829.56057,8033234.56273,1093
57.6169885474,413819.531777,8033240.23657,1894
69.1403862569,413809.502983,8033245.9104,2840
80.6637839664,413799.47419,8033251.58423,5022
92.1871816758,413789.445397,8033257.25806,5436
103.710579385,413779.416603,8033262.93189,5974
115.233977095,413769.38781,8033268.60572,6087
126.757374804,413759.359017,8033274.27955,6664
138.280772514,413749.330223,8033279.95338,6930
149.804170223,413739.30143,8033285.62722,6731
161.327567933,413729.272636,8033291.30105,6836
172.850965642,413719.243843,8033296.97488,6619
184.374363352,413709.21505,8033302.64871,6818
195.897761061,413699.186256,8033308.32254,6542
207.421158771,413689.157463,8033313.99637,6824
218.94455648,413679.128669,8033319.6702,6939
230.46795419,413669.099876,8033325.34404,6828
241.991351899,413659.071083,8033331.01787,6344
253.514749609,413649.042289,8033336.6917,6869
265.038147318,413639.013496,8033342.36553,7157
276.561545027,413628.984702,8033348.03936,6621
288.084942737,413618.955909,8033353.71319,6029
299.608340446,413608.927116,8033359.38702,6142
311.131738156,413598.898322,8033365.06085,6872
322.655135865,413588.869529,8033370.73469,6703
334.178533575,413578.840736,8033376.40852,6616
345.701931284,413568.811942,8033382.08235,6958
357.225328994,413558.783149,8033387.75618,7023
368.748726703,413548.754355,8033393.43001,6666
380.272124413,413538.725562,8033399.10384,6623
391.795522122,413528.696769,8033404.77767,6769
403.318919832,413518.667975,8033410.45151,6828
414.842317541,413508.639182,8033416.12534,6906
426.365715251,413498.610388,8033421.79917,6676
437.88911296,413488.581595,8033427.473,6825
449.41251067,413478.552802,8033433.14683,6595
460.935908379,413468.524008,8033438.82066,6697
472.459306089,413458.495215,8033444.49449,6635
483.982703798,413448.466421,8033450.16832,6295
495.506101508,413438.437628,8033455.84216,6139
507.029499217,413428.408835,8033461.51599,6271
518.552896927,413418.380041,8033467.18982,6515
530.076294636,413408.351248,8033472.86365,6245
541.599692346,413398.322454,8033478.53748,6549
553.123090055,413388.293661,8033484.21131,6963
564.646487764,413378.264868,8033489.88514,7042
576.169885474,413368.236074,8033495.55898,6859
587.693283183,413358.207281,8033501.23281,5863
599.216680893,413348.178488,8033506.90664,5124
