Distance (m),UTM 52 Lon,UTM 52 Lat,S2 Reflectance
0,412883.061818,8033219.14884,3434
11.8094236858,412893.127239,8033212.97393,3660
23.6188473717,412903.19266,8033206.79902,4052
35.4282710575,412913.25808,8033200.62412,4812
47.2376947433,412923.323501,8033194.44921,5660
59.0471184291,412933.388922,8033188.2743,5797
70.856542115,412943.454343,8033182.0994,5932
82.6659658008,412953.519764,8033175.92449,4684
94.4753894866,412963.585185,8033169.74958,4347
106.284813172,412973.650606,8033163.57468,4812
118.094236858,412983.716027,8033157.39977,4909
129.903660544,412993.781448,8033151.22486,5391
141.71308423,413003.846869,8033145.04996,5487
153.522507916,413013.91229,8033138.87505,5691
165.331931602,413023.977711,8033132.70014,5439
177.141355287,413034.043132,8033126.52524,5556
188.950778973,413044.108553,8033120.35033,5840
200.760202659,413054.173974,8033114.17542,5453
212.569626345,413064.239395,8033108.00052,5703
224.379050031,413074.304816,8033101.82561,5852
236.188473717,413084.370237,8033095.6507,5815
247.997897402,413094.435658,8033089.47579,6161
259.807321088,413104.501079,8033083.30089,5576
271.616744774,413114.5665,8033077.12598,5279
283.42616846,413124.631921,8033070.95107,5056
295.235592146,413134.697342,8033064.77617,4383
307.045015831,413144.762763,8033058.60126,4878
318.854439517,413154.828184,8033052.42635,4453
330.663863203,413164.893605,8033046.25145,4865
342.473286889,413174.959026,8033040.07654,4826
354.282710575,413185.024447,8033033.90163,4112
366.092134261,413195.089868,8033027.72673,2922
377.901557946,413205.155289,8033021.55182,3041
389.710981632,413215.22071,8033015.37691,2888
401.520405318,413225.286131,8033009.20201,2786
413.329829004,413235.351552,8033003.0271,4487
425.13925269,413245.416973,8032996.85219,3464
436.948676376,413255.482394,8032990.67729,6184
448.758100061,413265.547815,8032984.50238,6877
460.567523747,413275.613236,8032978.32747,6897
472.376947433,413285.678657,8032972.15257,6695
484.186371119,413295.744078,8032965.97766,6959
495.995794805,413305.809499,8032959.80275,6853
507.805218491,413315.874919,8032953.62785,6792
519.614642176,413325.94034,8032947.45294,6654
531.424065862,413336.005761,8032941.27803,6274
543.233489548,413346.071182,8032935.10313,6101
555.042913234,413356.136603,8032928.92822,6197
566.85233692,413366.202024,8032922.75331,6011
578.661760605,413376.267445,8032916.57841,4204
590.471184291,413386.332866,8032910.4035,4343
602.280607977,413396.398287,8032904.22859,3793
614.090031663,413406.463708,8032898.05369,4729
625.899455349,413416.529129,8032891.87878,6229
637.708879035,413426.59455,8032885.70387,6169
649.51830272,413436.659971,8032879.52897,6387
661.327726406,413446.725392,8032873.35406,6061
673.137150092,413456.790813,8032867.17915,6121
684.946573778,413466.856234,8032861.00425,6121
696.755997464,413476.921655,8032854.82934,6376
708.56542115,413486.987076,8032848.65443,6602
720.374844835,413497.052497,8032842.47953,6599
732.184268521,413507.117918,8032836.30462,6413
743.993692207,413517.183339,8032830.12971,6295
755.803115893,413527.24876,8032823.95481,6347
767.612539579,413537.314181,8032817.7799,6457
779.421963265,413547.379602,8032811.60499,6205
791.23138695,413557.445023,8032805.43009,5903
803.040810636,413567.510444,8032799.25518,4394
814.850234322,413577.575865,8032793.08027,3125
826.659658008,413587.641286,8032786.90537,1882
838.469081694,413597.706707,8032780.73046,657
850.278505379,413607.772128,8032774.55555,418
862.087929065,413617.837549,8032768.38065,404
873.897352751,413627.90297,8032762.20574,365
885.706776437,413637.968391,8032756.03083,363
897.516200123,413648.033812,8032749.85593,407
909.325623809,413658.099233,8032743.68102,381
921.135047494,413668.164654,8032737.50611,346
932.94447118,413678.230075,8032731.33121,343
944.753894866,413688.295496,8032725.1563,342
956.563318552,413698.360917,8032718.98139,335
968.372742238,413708.426337,8032712.80649,339
980.182165924,413718.491758,8032706.63158,343
991.991589609,413728.557179,8032700.45667,341
1003.8010133,413738.6226,8032694.28176,335
1015.61043698,413748.688021,8032688.10686,331
1027.41986067,413758.753442,8032681.93195,328
1039.22928435,413768.818863,8032675.75704,331
1051.03870804,413778.884284,8032669.58214,327
1062.84813172,413788.949705,8032663.40723,327
1074.65755541,413799.015126,8032657.23232,327
1086.4669791,413809.080547,8032651.05742,331
1098.27640278,413819.145968,8032644.88251,329
1110.08582647,413829.211389,8032638.7076,329
1121.89525015,413839.27681,8032632.5327,330
