Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
0,615516.489787,8034637.68715,-20.8697509766
11.2189525015,615526.589635,8034632.80269,-20.2731704712
22.4379050031,615536.689483,8034627.91822,-19.6813812256
33.6568575046,615546.789331,8034623.03376,-18.9847431183
44.8758100061,615556.889179,8034618.1493,-17.2174167633
56.0947625077,615566.989027,8034613.26484,-16.2696533203
67.3137150092,615577.088875,8034608.38038,-16.3031978607
78.5326675107,615587.188723,8034603.49592,-16.4517173767
89.7516200123,615597.28857,8034598.61145,-16.8456897736
100.970572514,615607.388418,8034593.72699,-17.7859611511
112.189525015,615617.488266,8034588.84253,-17.4055271149
123.408477517,615627.588114,8034583.95807,-17.1891937256
134.627430018,615637.687962,8034579.07361,-16.5644645691
145.84638252,615647.78781,8034574.18914,-16.3913078308
157.065335021,615657.887658,8034569.30468,-16.110452652
168.284287523,615667.987506,8034564.42022,-17.3774433136
179.503240025,615678.087354,8034559.53576,-17.3682060242
190.722192526,615688.187202,8034554.6513,-17.7287521362
201.941145028,615698.28705,8034549.76684,-17.3148078918
213.160097529,615708.386898,8034544.88237,-18.1907730103
224.379050031,615718.486746,8034539.99791,-17.4908332825
235.598002532,615728.586594,8034535.11345,-18.5067081451
246.816955034,615738.686441,8034530.22899,-18.477891922
258.035907535,615748.786289,8034525.34453,-19.4305152893
269.254860037,615758.886137,8034520.46006,-18.7621898651
280.473812538,615768.985985,8034515.5756,-18.6532535553
291.69276504,615779.085833,8034510.69114,-17.9463291168
302.911717541,615789.185681,8034505.80668,-18.8987770081
314.130670043,615799.285529,8034500.92222,-18.9107608795
325.349622545,615809.385377,8034496.03776,-19.298456192
336.568575046,615819.485225,8034491.15329,-19.0044002533
347.787527548,615829.585073,8034486.26883,-19.5320396423
359.006480049,615839.684921,8034481.38437,-19.2781333923
370.225432551,615849.784769,8034476.49991,-18.4599819183
381.444385052,615859.884617,8034471.61545,-17.8929824829
392.663337554,615869.984465,8034466.73099,-18.5673751831
403.882290055,615880.084312,8034461.84652,-19.2318572998
415.101242557,615890.18416,8034456.96206,-20.5715312958
426.320195058,615900.284008,8034452.0776,-20.6973361969
437.53914756,615910.383856,8034447.19314,-20.2352905273
448.758100061,615920.483704,8034442.30868,-19.2989635468
459.977052563,615930.583552,8034437.42421,-18.7869377136
471.196005064,615940.6834,8034432.53975,-18.8114128113
482.414957566,615950.783248,8034427.65529,-18.0451984406
493.633910068,615960.883096,8034422.77083,-18.323884964
504.852862569,615970.982944,8034417.88637,-18.2305793762
516.071815071,615981.082792,8034413.00191,-18.7514038086
527.290767572,615991.18264,8034408.11744,-18.9265079498
538.509720074,616001.282488,8034403.23298,-17.6660518646
549.728672575,616011.382336,8034398.34852,-17.5582847595
560.947625077,616021.482183,8034393.46406,-16.7832603455
572.166577578,616031.582031,8034388.5796,-16.2494182587
583.38553008,616041.681879,8034383.69513,-17.6371173859
594.604482581,616051.781727,8034378.81067,-19.2490310669
605.823435083,616061.881575,8034373.92621,-20.9946022034
617.042387584,616071.981423,8034369.04175,-20.8526210785
628.261340086,616082.081271,8034364.15729,-19.0699043274
639.480292587,616092.181119,8034359.27283,-17.4843158722
650.699245089,616102.280967,8034354.38836,-16.1987533569
661.918197591,616112.380815,8034349.5039,-16.3381710052
673.137150092,616122.480663,8034344.61944,-17.5906963348
684.356102594,616132.580511,8034339.73498,-17.9292049408
695.575055095,616142.680359,8034334.85052,-18.319278717
706.794007597,616152.780206,8034329.96605,-18.9618759155
718.012960098,616162.880054,8034325.08159,-19.8821773529
729.2319126,616172.979902,8034320.19713,-20.121011734
740.450865101,616183.07975,8034315.31267,-20.0051937103
751.669817603,616193.179598,8034310.42821,-19.7647399902
762.888770104,616203.279446,8034305.54375,-19.5331134796
774.107722606,616213.379294,8034300.65928,-18.9555549622
785.326675107,616223.479142,8034295.77482,-19.8029918671
796.545627609,616233.57899,8034290.89036,-19.9559230804
807.764580111,616243.678838,8034286.0059,-21.1925411224
818.983532612,616253.778686,8034281.12144,-19.9781684875
830.202485114,616263.878534,8034276.23698,-20.8264598846
841.421437615,616273.978382,8034271.35251,-21.3078632355
852.640390117,616284.07823,8034266.46805,-24.2564868927
863.859342618,616294.178077,8034261.58359,-25.0141582489
875.07829512,616304.277925,8034256.69913,-25.1399860382
886.297247621,616314.377773,8034251.81467,-25.5755271912
897.516200123,616324.477621,8034246.9302,-26.4086742401
908.735152624,616334.577469,8034242.04574,-27.1207828522
919.954105126,616344.677317,8034237.16128,-27.1441516876
931.173057627,616354.777165,8034232.27682,-27.3174743652
942.392010129,616364.877013,8034227.39236,-27.7890090942
953.61096263,616374.976861,8034222.5079,-28.3765697479
964.829915132,616385.076709,8034217.62343,-28.9681053162
976.048867634,616395.176557,8034212.73897,-29.4510822296
987.267820135,616405.276405,8034207.85451,-29.6034069061
998.486772637,616415.376253,8034202.97005,-31.2569236755
1009.70572514,616425.476101,8034198.08559,-29.8743915558
1020.92467764,616435.575948,8034193.20112,-30.0011863708
1032.14363014,616445.675796,8034188.31666,-29.1061267853
1043.36258264,616455.775644,8034183.4322,-28.8821983337
1054.58153514,616465.875492,8034178.54774,-28.3490581512
1065.80048765,616475.97534,8034173.66328,-26.8694972992
1077.01944015,616486.075188,8034168.77882,-28.0116958618
1088.23839265,616496.175036,8034163.89435,-29.5813903809
1099.45734515,616506.274884,8034159.00989,-30.7478084564
1110.67629765,616516.374732,8034154.12543,-32.8458938599
1121.89525015,616526.47458,8034149.24097,-32.7267837524
