Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
0,590074.348041,8031144.3146,-25.1475543976
12.4864743158,590081.761041,8031154.36246,-25.843378067
24.9729486316,590089.174042,8031164.41032,-26.0850353241
37.4594229474,590096.587042,8031174.45817,-25.5160045624
49.9458972631,590104.000043,8031184.50603,-23.9385166168
62.4323715789,590111.413044,8031194.55389,-22.3781070709
74.9188458947,590118.826044,8031204.60175,-20.7226867676
87.4053202105,590126.239045,8031214.64961,-19.4084854126
99.8917945263,590133.652046,8031224.69747,-18.7509422302
112.378268842,590141.065046,8031234.74533,-19.1856117249
124.864743158,590148.478047,8031244.79318,-20.4964790344
137.351217474,590155.891048,8031254.84104,-21.2624454498
149.837691789,590163.304048,8031264.8889,-20.5529785156
162.324166105,590170.717049,8031274.93676,-19.9428310394
174.810640421,590178.13005,8031284.98462,-19.7496128082
187.297114737,590185.54305,8031295.03248,-21.532245636
199.783589053,590192.956051,8031305.08034,-22.8911743164
212.270063368,590200.369051,8031315.12819,-23.1553554535
224.756537684,590207.782052,8031325.17605,-22.9395046234
237.243012,590215.195053,8031335.22391,-21.4446163177
249.729486316,590222.608053,8031345.27177,-20.6695766449
262.215960632,590230.021054,8031355.31963,-20.4839076996
274.702434947,590237.434055,8031365.36749,-20.6213092804
287.188909263,590244.847055,8031375.41535,-20.4032936096
299.675383579,590252.260056,8031385.4632,-19.8947753906
312.161857895,590259.673057,8031395.51106,-19.8357257843
324.64833221,590267.086057,8031405.55892,-19.6829376221
337.134806526,590274.499058,8031415.60678,-19.4693622589
349.621280842,590281.912058,8031425.65464,-19.2769832611
362.107755158,590289.325059,8031435.7025,-18.9175014496
374.594229474,590296.73806,8031445.75036,-18.7551517487
387.080703789,590304.15106,8031455.79821,-19.0066623688
399.567178105,590311.564061,8031465.84607,-19.6558227539
412.053652421,590318.977062,8031475.89393,-19.8012142181
424.540126737,590326.390062,8031485.94179,-19.6967163086
437.026601053,590333.803063,8031495.98965,-19.5683841705
449.513075368,590341.216064,8031506.03751,-19.3954315186
461.999549684,590348.629064,8031516.08537,-19.4875087738
474.486024,590356.042065,8031526.13322,-19.360212326
486.972498316,590363.455066,8031536.18108,-19.3645629883
499.458972631,590370.868066,8031546.22894,-19.5287857056
511.945446947,590378.281067,8031556.2768,-19.9945487976
524.431921263,590385.694067,8031566.32466,-20.0337295532
536.918395579,590393.107068,8031576.37252,-20.2052555084
549.404869895,590400.520069,8031586.42038,-20.0945625305
561.89134421,590407.933069,8031596.46823,-19.8239936829
574.377818526,590415.34607,8031606.51609,-19.6010608673
586.864292842,590422.759071,8031616.56395,-19.3821792603
599.350767158,590430.172071,8031626.61181,-19.0207080841
611.837241474,590437.585072,8031636.65967,-18.989118576
624.323715789,590444.998073,8031646.70753,-19.5593414307
636.810190105,590452.411073,8031656.75539,-19.8514633179
649.296664421,590459.824074,8031666.80325,-20.2231121063
661.783138737,590467.237075,8031676.8511,-20.0365982056
674.269613053,590474.650075,8031686.89896,-20.2634983063
686.756087368,590482.063076,8031696.94682,-20.5907421112
699.242561684,590489.476076,8031706.99468,-21.2689342499
711.729036,590496.889077,8031717.04254,-21.3259277344
724.215510316,590504.302078,8031727.0904,-21.2066020966
736.701984631,590511.715078,8031737.13826,-21.3874702454
749.188458947,590519.128079,8031747.18611,-21.6726799011
761.674933263,590526.54108,8031757.23397,-21.8586997986
774.161407579,590533.95408,8031767.28183,-22.7001132965
786.647881895,590541.367081,8031777.32969,-22.7812423706
799.13435621,590548.780082,8031787.37755,-24.4742946625
811.620830526,590556.193082,8031797.42541,-25.4679336548
824.107304842,590563.606083,8031807.47327,-25.5462265015
836.593779158,590571.019084,8031817.52112,-25.4442195892
849.080253474,590578.432084,8031827.56898,-26.9645442963
861.566727789,590585.845085,8031837.61684,-29.2147445679
874.053202105,590593.258085,8031847.6647,-29.9517593384
886.539676421,590600.671086,8031857.71256,-29.6844730377
899.026150737,590608.084087,8031867.76042,-30.0560150146
911.512625052,590615.497087,8031877.80828,-29.8520298004
