Distance (m),UTM 51 Lon,UTM 51 Lat,S1 Backscatter
0,604719.571229,8025248.57273,-29.5840244293
11.6784006544,604709.502046,8025242.65693,-30.1219768524
23.3568013088,604699.432863,8025236.74114,-30.9211750031
35.0352019632,604689.363679,8025230.82535,-31.5836734772
46.7136026176,604679.294496,8025224.90956,-31.4997005463
58.392003272,604669.225313,8025218.99377,-30.9258041382
70.0704039264,604659.15613,8025213.07798,-28.9514579773
81.7488045809,604649.086947,8025207.16218,-27.4301185608
93.4272052353,604639.017764,8025201.24639,-27.0640735626
105.10560589,604628.948581,8025195.3306,-27.5006275177
116.784006544,604618.879398,8025189.41481,-27.9516487122
128.462407198,604608.810215,8025183.49902,-27.4213066101
140.140807853,604598.741031,8025177.58322,-26.1751155853
151.819208507,604588.671848,8025171.66743,-25.868812561
163.497609162,604578.602665,8025165.75164,-24.9684696198
175.176009816,604568.533482,8025159.83585,-24.810792923
186.854410471,604558.464299,8025153.92006,-23.7776451111
198.532811125,604548.395116,8025148.00426,-23.917848587
210.211211779,604538.325933,8025142.08847,-24.8540153503
221.889612434,604528.25675,8025136.17268,-27.2487754822
233.568013088,604518.187567,8025130.25689,-27.7972946167
245.246413743,604508.118383,8025124.3411,-29.0243606567
256.924814397,604498.0492,8025118.42531,-28.6064510345
268.603215051,604487.980017,8025112.50951,-27.878780365
280.281615706,604477.910834,8025106.59372,-27.3886356354
291.96001636,604467.841651,8025100.67793,-27.0754432678
303.638417015,604457.772468,8025094.76214,-26.5886211395
315.316817669,604447.703285,8025088.84635,-26.4055271149
326.995218323,604437.634102,8025082.93055,-27.4410686493
338.673618978,604427.564919,8025077.01476,-27.5341472626
350.352019632,604417.495735,8025071.09897,-26.9321842194
362.030420287,604407.426552,8025065.18318,-25.4436454773
373.708820941,604397.357369,8025059.26739,-24.3172264099
385.387221595,604387.288186,8025053.3516,-22.7590198517
397.06562225,604377.219003,8025047.4358,-22.0522594452
408.744022904,604367.14982,8025041.52001,-21.2192249298
420.422423559,604357.080637,8025035.60422,-20.4724140167
432.100824213,604347.011454,8025029.68843,-20.0720767975
443.779224867,604336.942271,8025023.77264,-20.8797187805
455.457625522,604326.873087,8025017.85684,-21.4209804535
467.136026176,604316.803904,8025011.94105,-21.673122406
478.814426831,604306.734721,8025006.02526,-21.6522979736
490.492827485,604296.665538,8025000.10947,-21.3999290466
502.17122814,604286.596355,8024994.19368,-21.1815872192
513.849628794,604276.527172,8024988.27788,-20.9564056396
525.528029448,604266.457989,8024982.36209,-21.1057567596
537.206430103,604256.388806,8024976.4463,-20.6980304718
548.884830757,604246.319623,8024970.53051,-21.2522296906
560.563231412,604236.250439,8024964.61472,-22.0717506409
572.241632066,604226.181256,8024958.69893,-22.759677887
583.92003272,604216.112073,8024952.78313,-22.8916053772
595.598433375,604206.04289,8024946.86734,-22.6312217712
607.276834029,604195.973707,8024940.95155,-22.3654441833
618.955234684,604185.904524,8024935.03576,-22.3872566223
630.633635338,604175.835341,8024929.11997,-22.2724552155
642.312035992,604165.766158,8024923.20417,-22.318271637
653.990436647,604155.696975,8024917.28838,-22.7160415649
665.668837301,604145.627791,8024911.37259,-22.7102584839
677.347237956,604135.558608,8024905.4568,-22.4543437958
689.02563861,604125.489425,8024899.54101,-22.4973163605
700.704039264,604115.420242,8024893.62521,-22.7108917236
712.382439919,604105.351059,8024887.70942,-22.3378677368
724.060840573,604095.281876,8024881.79363,-21.9618377686
735.739241228,604085.212693,8024875.87784,-21.3545532227
747.417641882,604075.14351,8024869.96205,-21.0460968018
759.096042536,604065.074327,8024864.04626,-21.1099777222
770.774443191,604055.005143,8024858.13046,-21.061422348
782.452843845,604044.93596,8024852.21467,-20.6095523834
794.1312445,604034.866777,8024846.29888,-19.757566452
805.809645154,604024.797594,8024840.38309,-19.1057357788
817.488045809,604014.728411,8024834.4673,-19.0458316803
829.166446463,604004.659228,8024828.5515,-19.401676178
840.844847117,603994.590045,8024822.63571,-19.9600315094
852.523247772,603984.520862,8024816.71992,-19.9152584076
864.201648426,603974.451679,8024810.80413,-19.7958641052
875.880049081,603964.382495,8024804.88834,-20.2847042084
887.558449735,603954.313312,8024798.97255,-20.6090393066
899.236850389,603944.244129,8024793.05675,-20.3830394745
910.915251044,603934.174946,8024787.14096,-19.8220539093
922.593651698,603924.105763,8024781.22517,-20.0764980316
934.272052353,603914.03658,8024775.30938,-21.2241001129
945.950453007,603903.967397,8024769.39359,-21.798286438
