Distance (m),Waterdepth (m)
0.0,1.042
22.395,1.039
38.188,1.039
54.11,1.057
72.537,1.062
86.438,1.062
107.79,1.075
130.19,1.053
153.37,1.044
177.06,1.073
201.06,1.072
225.13,1.059
272.67,1.061
297.73,1.086
323.33,1.088
349.62,1.072
373.82,1.071
395.63,1.104
416.63,1.106
442.22,1.144
466.62,1.144
487.68,1.141
504.78,1.184
520.3,1.189
552.22,1.245
568.67,1.306
586.51,1.305
602.93,1.301
622.97,1.372
641.13,1.375
659.36,1.375
676.69,1.47
698.58,1.468
717.93,1.468
738.28,1.588
756.86,1.588
775.56,1.75
794.07,1.645
810.72,1.751
828.84,1.749
846.41,1.961
866.0,1.958
884.16,1.957
903.35,2.13
920.64,2.133
940.83,2.125
960.39,2.842
979.08,2.817
997.45,2.85
1012.4,3.242
1031.9,3.419
1050.2,3.427
1071.4,3.885
1092.6,3.915
1113.5,4.102
1134.5,4.075
1154.6,4.032
1176.4,3.812
1198.5,3.805
1223.8,3.244
1247.5,3.252
1291.5,2.461
1318.1,2.199
1346.3,2.194
1372.1,2.204
1396.9,1.788
1420.1,1.775
1444.0,1.497
1466.1,1.582
1486.9,1.306
1508.2,1.307
1531.5,1.12
1553.1,1.118
1575.4,1.117
1597.7,1.253
1620.9,1.253
1641.5,1.417
1662.8,1.419
1684.0,1.419
1706.4,1.543
1728.8,1.546
